id,date,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15,price_category,size_category,price_per_sqft,bed_bath_ratio,high_grade,has_water_view,is_high_value,sale_year,sale_month,sale_quarter
7129300520,2014-10-13,3,1.0,1180,5650,1.0,0,0,3,7,1180,0,1955,0,98178,47.5112,-122.257,1340,5650,221900,< $300K,>4K sqft,39.27433628318584,0.000847457627118644,False,False,False,2014,10,4
6414100192,2014-12-09,3,2.25,2570,7242,2.0,0,0,3,7,2170,400,1951,1991,98125,47.721,-122.319,1690,7639,538000,$500K-650K,>4K sqft,74.28887047776857,0.0008754863813229572,True,False,False,2014,12,4
5631500400,2015-02-25,2,1.0,770,10000,1.0,0,0,3,6,770,0,1933,0,98028,47.7379,-122.233,2720,8062,180000,< $300K,>4K sqft,18.0,0.0012987012987012987,False,False,False,2015,2,1
2487200875,2014-12-09,4,3.0,1960,5000,1.0,0,0,5,7,1050,910,1965,0,98136,47.5208,-122.393,1360,5000,604000,$500K-650K,>4K sqft,120.8,0.001530612244897959,False,False,False,2014,12,4
1954400510,2015-02-18,3,2.0,1680,8080,1.0,0,0,3,8,1680,0,1987,0,98074,47.6168,-122.045,1800,7503,510000,$500K-650K,>4K sqft,63.118811881188115,0.0011904761904761906,True,False,False,2015,2,1
7237550310,2014-05-12,4,4.5,5420,101930,1.0,0,0,3,11,3890,1530,2001,0,98053,47.6561,-122.005,4760,101930,1230000,> $1M,>4K sqft,12.067104875895222,0.0008302583025830259,True,False,True,2014,5,2
1321400060,2014-06-27,3,2.25,1715,6819,2.0,0,0,3,7,1715,0,1995,0,98003,47.3097,-122.327,2238,6819,257500,< $300K,>4K sqft,37.762135210441414,0.0013119533527696794,True,False,False,2014,6,2
2008000270,2015-01-15,3,1.5,1060,9711,1.0,0,0,3,7,1060,0,1963,0,98198,47.4095,-122.315,1650,9711,291850,< $300K,>4K sqft,30.053547523427042,0.0014150943396226414,False,False,False,2015,1,1
2414600126,2015-04-15,3,1.0,1780,7470,1.0,0,0,3,7,1050,730,1960,0,98146,47.5123,-122.337,1780,8113,229500,< $300K,>4K sqft,30.72289156626506,0.0005617977528089888,False,False,False,2015,4,2
3793500160,2015-03-12,3,2.5,1890,6560,2.0,0,0,3,7,1890,0,2003,0,98038,47.3684,-122.031,2390,7570,323000,$300K-500K,>4K sqft,49.23780487804878,0.0013227513227513227,True,False,False,2015,3,1
1736800520,2015-04-03,3,2.5,3560,9796,1.0,0,0,3,8,1860,1700,1965,0,98007,47.6007,-122.145,2210,8925,662500,$650K-1M,>4K sqft,67.62964475296039,0.0007022471910112359,True,False,True,2015,4,2
9212900260,2014-05-27,2,1.0,1160,6000,1.0,0,0,4,7,860,300,1942,0,98115,47.69,-122.292,1330,6000,468000,$300K-500K,>4K sqft,78.0,0.0008620689655172414,False,False,False,2014,5,2
114101516,2014-05-28,3,1.0,1430,19901,1.5,0,0,4,7,1430,0,1927,0,98028,47.7558,-122.229,1780,12697,310000,$300K-500K,>4K sqft,15.57710667805638,0.0006993006993006993,False,False,False,2014,5,2
6054650070,2014-10-07,3,1.75,1370,9680,1.0,0,0,4,7,1370,0,1977,0,98074,47.6127,-122.045,1370,10208,400000,$300K-500K,>4K sqft,41.32231404958678,0.0012773722627737226,False,False,False,2014,10,4
1175000570,2015-03-12,5,2.0,1810,4850,1.5,0,0,3,7,1810,0,1900,0,98107,47.67,-122.394,1360,4850,530000,$500K-650K,>4K sqft,109.27835051546391,0.0011049723756906078,True,False,False,2015,3,1
9297300055,2015-01-24,4,3.0,2950,5000,2.0,0,3,3,9,1980,970,1979,0,98126,47.5714,-122.375,2140,4000,650000,$500K-650K,>4K sqft,130.0,0.001016949152542373,True,True,True,2015,1,1
1875500060,2014-07-31,3,2.0,1890,14040,2.0,0,0,3,7,1890,0,1994,0,98019,47.7277,-121.962,1890,14018,395000,$300K-500K,>4K sqft,28.133903133903132,0.0010582010582010583,True,False,False,2014,7,3
6865200140,2014-05-29,4,1.0,1600,4300,1.5,0,0,4,7,1600,0,1916,0,98103,47.6648,-122.343,1610,4300,485000,$300K-500K,>4K sqft,112.79069767441861,0.000625,True,False,False,2014,5,2
16000397,2014-12-05,2,1.0,1200,9850,1.0,0,0,4,7,1200,0,1921,0,98002,47.3089,-122.21,1060,5095,189000,< $300K,>4K sqft,19.18781725888325,0.0008333333333333334,False,False,False,2014,12,4
7983200060,2015-04-24,3,1.0,1250,9774,1.0,0,0,4,7,1250,0,1969,0,98003,47.3343,-122.306,1280,8850,230000,< $300K,>4K sqft,23.531819111929607,0.0008,False,False,False,2015,4,2
6300500875,2014-05-14,4,1.75,1620,4980,1.0,0,0,4,7,860,760,1947,0,98133,47.7025,-122.341,1400,4980,385000,$300K-500K,>4K sqft,77.30923694779116,0.0010802469135802468,False,False,False,2014,5,2
2524049179,2014-08-26,3,2.75,3050,44867,1.0,0,4,3,9,2330,720,1968,0,98040,47.5316,-122.233,4110,20336,2000000,> $1M,>4K sqft,44.57619185592975,0.0009016393442622951,True,True,True,2014,8,3
7137970340,2014-07-03,5,2.5,2270,6300,2.0,0,0,3,8,2270,0,1995,0,98092,47.3266,-122.169,2240,7005,285000,< $300K,>4K sqft,45.23809523809524,0.0011013215859030838,True,False,False,2014,7,3
8091400200,2014-05-16,2,1.5,1070,9643,1.0,0,0,3,7,1070,0,1985,0,98030,47.3533,-122.166,1220,8386,252700,< $300K,>4K sqft,26.205537695737842,0.0014018691588785046,False,False,False,2014,5,2
3814700200,2014-11-20,3,2.25,2450,6500,2.0,0,0,4,8,2450,0,1985,0,98030,47.3739,-122.172,2200,6865,329000,$300K-500K,>4K sqft,50.61538461538461,0.0009183673469387755,True,False,False,2014,11,4
1202000200,2014-11-03,3,2.0,1710,4697,1.5,0,0,5,6,1710,0,1941,0,98002,47.3048,-122.218,1030,4705,233000,< $300K,>4K sqft,49.60613157334469,0.0011695906432748538,True,False,False,2014,11,4
1794500383,2014-06-26,3,1.75,2450,2691,2.0,0,0,3,8,1750,700,1915,0,98119,47.6386,-122.36,1760,3573,937000,$650K-1M,2K-3K sqft,348.19769602378295,0.0007142857142857143,True,False,True,2014,6,2
3303700376,2014-12-01,3,1.0,1400,1581,1.5,0,0,5,8,1400,0,1909,0,98112,47.6221,-122.314,1860,3861,667000,$650K-1M,1K-2K sqft,421.88488298545224,0.0007142857142857143,False,False,True,2014,12,4
5101402488,2014-06-24,3,1.75,1520,6380,1.0,0,0,3,7,790,730,1948,0,98115,47.695,-122.304,1520,6235,438000,$300K-500K,>4K sqft,68.65203761755485,0.001151315789473684,False,False,False,2014,6,2
1873100390,2015-03-02,4,2.5,2570,7173,2.0,0,0,3,8,2570,0,2005,0,98052,47.7073,-122.11,2630,6026,719000,$650K-1M,>4K sqft,100.23699986058831,0.0009727626459143969,True,False,True,2015,3,1
8562750320,2014-11-10,3,2.5,2320,3980,2.0,0,0,3,8,2320,0,2003,0,98027,47.5391,-122.07,2580,3980,580500,$500K-650K,3K-4K sqft,145.85427135678393,0.0010775862068965517,True,False,False,2014,11,4
2426039314,2014-12-01,2,1.5,1190,1265,3.0,0,0,3,7,1190,0,2005,0,98133,47.7274,-122.357,1390,1756,280000,< $300K,1K-2K sqft,221.34387351778656,0.0012605042016806723,False,False,False,2014,12,4
461000390,2014-06-24,4,1.75,2330,5000,1.5,0,0,4,7,1510,820,1929,0,98117,47.6823,-122.368,1460,5000,687500,$650K-1M,>4K sqft,137.5,0.0007510729613733906,False,False,True,2014,6,2
7589200193,2014-11-10,3,1.0,1090,3000,1.5,0,0,4,8,1090,0,1929,0,98117,47.6889,-122.375,1570,5080,535000,$500K-650K,2K-3K sqft,178.33333333333334,0.0009174311926605505,False,False,False,2014,11,4
7955080270,2014-12-03,4,2.75,2060,6659,1.0,0,0,3,7,1280,780,1981,0,98058,47.4276,-122.157,2020,8720,322500,$300K-500K,>4K sqft,48.43069529959453,0.0013349514563106796,False,False,False,2014,12,4
9547205180,2014-06-13,3,2.5,2300,3060,1.5,0,0,3,8,1510,790,1930,2002,98115,47.6827,-122.31,1590,3264,696000,$650K-1M,3K-4K sqft,227.45098039215685,0.0010869565217391304,False,False,True,2014,6,2
9435300030,2014-05-28,4,1.0,1660,34848,1.0,0,0,1,5,930,730,1933,0,98052,47.6621,-122.132,2160,11467,550000,$500K-650K,>4K sqft,15.782828282828282,0.0006024096385542169,False,False,False,2014,5,2
2768000400,2014-12-30,4,2.0,2360,6000,2.0,0,0,4,8,2360,0,1904,0,98107,47.6702,-122.362,1730,4700,640000,$500K-650K,>4K sqft,106.66666666666667,0.000847457627118644,True,False,False,2014,12,4
7895500070,2015-02-13,4,1.0,1220,8075,1.0,0,0,2,7,890,330,1969,0,98001,47.3341,-122.282,1290,7800,240000,< $300K,>4K sqft,29.721362229102166,0.000819672131147541,False,False,False,2015,2,1
2078500320,2014-06-20,4,2.5,2620,7553,2.0,0,0,3,8,2620,0,1996,0,98056,47.5301,-122.18,2620,11884,605000,$500K-650K,>4K sqft,80.10062226929696,0.0009541984732824427,True,False,False,2014,6,2
5547700270,2014-07-15,4,2.5,2570,5520,2.0,0,0,3,9,2570,0,2000,0,98074,47.6145,-122.027,2470,5669,625000,$500K-650K,>4K sqft,113.22463768115942,0.0009727626459143969,True,False,False,2014,7,3
7766200013,2014-08-11,4,2.25,4220,24186,1.0,0,0,3,8,2600,1620,1984,0,98166,47.445,-122.347,2410,30617,775000,$650K-1M,>4K sqft,32.04333085255933,0.0005331753554502369,True,False,True,2014,8,3
7203220400,2014-07-07,5,2.75,3595,5639,2.0,0,0,3,9,3595,0,2014,0,98053,47.6848,-122.016,3625,5639,861990,$650K-1M,>4K sqft,152.86220961163326,0.000764951321279555,True,False,True,2014,7,3
9270200160,2014-10-28,3,1.0,1570,2280,2.0,0,0,3,7,1570,0,1922,0,98119,47.6413,-122.364,1580,2640,685000,$650K-1M,2K-3K sqft,300.43859649122805,0.0006369426751592356,True,False,True,2014,10,4
1432701230,2014-07-29,3,1.0,1280,9656,1.0,0,0,4,6,920,360,1959,0,98058,47.4485,-122.175,1340,8808,309000,$300K-500K,>4K sqft,32.00082850041425,0.00078125,False,False,False,2014,7,3
8035350320,2014-07-18,3,2.5,3160,13603,2.0,0,0,3,8,3160,0,2003,0,98019,47.7443,-121.977,3050,9232,488000,$300K-500K,>4K sqft,35.874439461883405,0.0007911392405063291,True,False,False,2014,7,3
8945200830,2015-03-25,3,1.0,990,8528,1.0,0,0,3,6,990,0,1966,0,98023,47.3066,-122.371,1228,8840,210490,< $300K,>4K sqft,24.682223264540337,0.00101010101010101,False,False,False,2015,3,1
4178300310,2014-07-16,4,2.5,2290,13416,2.0,0,0,4,9,2290,0,1981,0,98007,47.6194,-122.151,2680,13685,785000,$650K-1M,>4K sqft,58.512224209898626,0.001091703056768559,True,False,True,2014,7,3
9215400105,2015-04-28,3,1.75,1250,5963,1.0,0,0,4,7,1250,0,1953,0,98115,47.6796,-122.301,970,5100,450000,$300K-500K,>4K sqft,75.46536978031192,0.0014,False,False,False,2015,4,2
822039084,2015-03-11,3,2.5,2753,65005,1.0,1,2,5,9,2165,588,1953,0,98070,47.4041,-122.451,2680,72513,1350000,> $1M,>4K sqft,20.76763325898008,0.0009081002542680712,True,True,True,2015,3,1
